gateway ID,node MAC,UTC timestamp,us count,frequency,RF chain,RX chain,status,size,modulation,bandwidth,datarate,coderate,RSSI,SNR,ESP,payload,gx,gy,gz,nx,ny,nz,hori_d,3d_d,i,j
B827EBFFFEEEC460,,2022-10-24 04:19:46.809Z,57468700,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-72,6.75,-72.83,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:19:48.311Z,58971908,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-69,6.25,-69.92,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:19:49.814Z,60475116,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-70,6.5,-70.88,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:19:51.316Z,61978316,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-76,7.25,-76.75,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:19:52.822Z,63481532,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-73,6.5,-73.88,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:19:54.324Z,64984740,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-75,6.5,-75.88,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:19:55.827Z,66487956,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-72,5.75,-73.02,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:19:57.329Z,67991164,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-74,6,-74.97,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:19:58.833Z,69494380,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-70,5.75,-71.02,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:20:00.337Z,70997588,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-73,7,-73.79,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:20:01.840Z,72500788,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-72,6.75,-72.83,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:20:03.344Z,74003996,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-72,6.25,-72.92,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:20:04.847Z,75507212,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-75,6.75,-75.83,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:20:06.351Z,77010420,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-73,7,-73.79,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:20:07.853Z,78513628,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-72,6,-72.97,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:20:09.356Z,80016844,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-75,6.75,-75.83,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:20:10.861Z,81520052,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-72,7.5,-72.71,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:20:12.363Z,83023268,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-71,6,-71.97,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:20:13.867Z,84526484,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-73,6,-73.97,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:20:15.370Z,86029684,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-73,6.5,-73.88,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:20:16.873Z,87532900,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-77,6.5,-77.88,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:20:18.376Z,89036124,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-75,4.75,-76.25,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:20:19.879Z,90539332,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-72,7.5,-72.71,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:20:21.382Z,92042548,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-72,6.25,-72.92,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
