"gateway ID","node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","status","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
B827EBFFFEEEC460,,2022-09-09 15:28:18.702Z,429238020,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-106,3.2,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,35,37,30, +1.8, +5.2"
B827EBFFFEEEC460,,2022-09-09 15:28:20.201Z,430738220,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-107,3.8,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,35,37,31, +2.5, +5.2"
B827EBFFFEEEC460,,2022-09-09 15:28:21.703Z,432238460,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-105,3.5,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,35,37,32, +1.8, +5.0"
B827EBFFFEEEC460,,2022-09-09 15:28:23.202Z,433738692,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-107,3.2,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,35,37,33, +2.0, +5.0"
B827EBFFFEEEC460,,2022-09-09 15:28:24.703Z,435238892,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-104,3.5,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,35,37,34, -1.0, +5.5"
B827EBFFFEEEC460,,2022-09-09 15:28:26.201Z,436739132,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-105,3.8,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,35,37,35, +2.5, +5.5"
B827EBFFFEEEC460,,2022-09-09 15:28:27.703Z,438239364,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-107,3.8,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,35,37,36, +3.2, +5.0"
B827EBFFFEEEC460,,2022-09-09 15:28:29.204Z,439739564,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-104,3.5,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,35,37,37, +2.2, +5.5"
B827EBFFFEEEC460,,2022-09-09 15:28:30.703Z,441239804,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-105,3.8,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,35,37,38, +2.5, +5.8"
B827EBFFFEEEC460,,2022-09-09 15:28:32.203Z,442740036,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-106,3.8,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,35,37,39, +2.2, +5.0"
